signage
English Term;English Definition;Isizulu Term;Isizulu Definition
"Dean & Head of School Mathematics; Statistics and Computer Science;;""iDini neNhloko yeSikole: seziBalo; iziBalo zokuLinganisa neSayensi yama Khompyutha"";"
Dean: Teaching and Learning;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi ;
Dean: Research;;iDini: yezoCwaningo;
Dean & Head of School: Clinical Medicine;;iDini neNhloko yeSikole: seMithi yemiTholampilo;
Dean & Head of School: Health Science;;iDini nenhloko yeSikole: seSayensi yezeMpilo;
Dean & Head of School: Laboratory Medicine and Medical Sciences;;iDini neNhloko yeSikole: sokuXilonga iMithi neSayensi yemithi yokweLapha;
Dean & Head of School: Nursing and Public Health;;iDini neNhloko yesikole: sobuHlengikazi neMpilo yoMphakathi;
Dean: Teaching and Learning ;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi;
Dean: Research;;iDini yezoCwaningo;
English Phrase/Term;;Amagama NgesiZulu;
Dean & Head of School  of Applied Human Sciences;;iDini neNhloko yeSikole: seSayensi yezeMpilo yaBantu.;
Dean & Head of School of Arts;;iDini neNhloko yeSikole: soBuciko;
Dean & Head of School of Built Environment and Development Studies;;iDini neNhloko yeSikole: izifundo zoKwakha nezeNtuthuko ;
Dean & Head of School of Education;;iDini neNhloko yeSikole: ezeMfundo;
"Dean & Head of School of Religion; Philosophy and Classics;;""iDini neNhloko yeSikole: ezeNkolo; ezobuNzululwazi nezaseMandulo."";"
Dean & Head of Schoo of Social Sciences;;iDini neNhloko yeSikole: seSayensi yezeNhlalo;
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo ;
"Dean & Head of School of Accounting; Economics and Finance;;""iDini neNhloko yeSikole: sokuHlelwa kwamaBhuku eziMali; ezoMnotho nezeziMali"";"
Dean & Head of School of the Graduate School of Business & Leadership ;;iDini neNhloko yeSikole: seZiqu sezamaBhizinisi noBuholi;
Dean & Head of School of Law;;iDini neNhloko yeSikole: SezoMthetho;
"Dean & Head of School of Management; IT and Governance ;;""iDini neNhloko yeSikole: ezokuPhatha;  ezoBuChwepheshe nokuBusa "";"
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo;
English Terms;;IsiZulu Term;
Office of the Vice-Chancellor and Principal;;iHhovisi le-Phini /Sekela-Shansela   neNhloko;
Office of the Deputy Vice Chancellor: Research;;iHhovisi LePhini likaSekela-Shansela: ezoCwaningo;
Office of the Deputy Vice Chancellor: Teaching and Learning ;;iHhovisi LePhini likaSekela- Shansela: ezokuFundisa nokuFunda  ;
Office of the Executive Director: Corporate Relations;;iHhovisi likaMqondisi-jikelele: ezoBudlelwano beziNkampani neNyuvesi.;
Office of the Executive Director: Physical Planning and Operations;;iHhovisi likaMqondisi-jikelele: ezokuHlelwa kweZakhiwo Nemisebenzi;
Office of the Executive Director : Human Resources;;iHhovisi likaMqondisi-jikelele: kaNdabazabafundi;
Office of the Registrar;;iHhovisi lika-Mgcinimniningwane yeNyuvesi ;
Office of the Executive Director: Student Affairs;;iHhovisi likaMqondisi-jikelele: ezabaFundi;
Office of the Chief Finance Officer;;iHhovisi likaMphathizimali-jikelele;
"Office of the Deputy Vice Chancellor and Head of the College of Agriculture; Engineering and Science;;""iHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: eZolimo; ezeSayensi nobuNjiniyela  "";"
Office of the Deputy Vice Chancellor and Head of the College of Health Sciences;;IHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: iSayensi yezeMpilo ;
Office of the Deputy Vice Chancellor and Head of College of Humanities;;iHhovisi LePhini likaSekela –Shanselane Nhloko yeKolishi: ezoBuntu;
Office of the Deputy Vice Chancellor and Head of College of Law and Management Studies;;iHhovisi LePhini likaSekela-ShanselaneNhloko yeKolishi: Izifundo zoMthetho nezokuPhatha ;
"Dean & Head of School of Agricultural; Earth and Environmental Sciences;;""iDini neNhloko yeSikole: sezoLimo; EzomMhlaba; ubuNjiniyela  neSayensi "";"
Dean & Head of School of Chemistry and Physics;;iDini neNhloko yeSikole: sezamaKhambi nezoMkhathi;
Dean & Head of School of Engineering;;iDini neNhloko yeSikole: sobuNjiniyela;
Dean & Head of School of Life Sciences;;iDini neNhloko yeSikole: seSayensi yokuPhila;
"Dean & Head of School Mathematics; Statistics and Computer Science;;""iDini neNhloko yeSikole: seziBalo; iziBalo zokuLinganisa neSayensi yama Khompyutha"";"
Dean: Teaching and Learning;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi ;
Dean: Research;;iDini: yezoCwaningo;
Dean & Head of School: Clinical Medicine;;iDini neNhloko yeSikole: seMithi yemiTholampilo;
Dean & Head of School: Health Science;;iDini nenhloko yeSikole: seSayensi yezeMpilo;
Dean & Head of School: Laboratory Medicine and Medical Sciences;;iDini neNhloko yeSikole: sokuXilonga iMithi neSayensi yemithi yokweLapha;
Dean & Head of School: Nursing and Public Health;;iDini neNhloko yesikole: sobuHlengikazi neMpilo yoMphakathi;
Dean: Teaching and Learning ;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi;
Dean: Research;;iDini yezoCwaningo;
English Phrase/Term;;Amagama NgesiZulu;
Dean & Head of School  of Applied Human Sciences;;iDini neNhloko yeSikole: seSayensi yezeMpilo yaBantu.;
Dean & Head of School of Arts;;iDini neNhloko yeSikole: soBuciko;
Dean & Head of School of Built Environment and Development Studies;;iDini neNhloko yeSikole: izifundo zoKwakha nezeNtuthuko ;
Dean & Head of School of Education;;iDini neNhloko yeSikole: ezeMfundo;
"Dean & Head of School of Religion; Philosophy and Classics;;""iDini neNhloko yeSikole: ezeNkolo; ezobuNzululwazi nezaseMandulo."";"
Dean & Head of Schoo of Social Sciences;;iDini neNhloko yeSikole: seSayensi yezeNhlalo;
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo ;
"Dean & Head of School of Accounting; Economics and Finance;;""iDini neNhloko yeSikole: sokuHlelwa kwamaBhuku eziMali; ezoMnotho nezeziMali"";"
Dean & Head of School of the Graduate School of Business & Leadership ;;iDini neNhloko yeSikole: seZiqu sezamaBhizinisi noBuholi;
Dean & Head of School of Law;;iDini neNhloko yeSikole: SezoMthetho;
"Dean & Head of School of Management; IT and Governance ;;""iDini neNhloko yeSikole: ezokuPhatha;  ezoBuChwepheshe nokuBusa "";"
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo;
English Terms;;IsiZulu Term;
Office of the Vice-Chancellor and Principal;;iHhovisi le-Phini /Sekela-Shansela   neNhloko;
Office of the Deputy Vice Chancellor: Research;;iHhovisi LePhini likaSekela-Shansela: ezoCwaningo;
Office of the Deputy Vice Chancellor: Teaching and Learning ;;iHhovisi LePhini likaSekela- Shansela: ezokuFundisa nokuFunda  ;
Office of the Executive Director: Corporate Relations;;iHhovisi likaMqondisi-jikelele: ezoBudlelwano beziNkampani neNyuvesi.;
Office of the Executive Director: Physical Planning and Operations;;iHhovisi likaMqondisi-jikelele: ezokuHlelwa kweZakhiwo Nemisebenzi;
Office of the Executive Director : Human Resources;;iHhovisi likaMqondisi-jikelele: kaNdabazabafundi;
Office of the Registrar;;iHhovisi lika-Mgcinimniningwane yeNyuvesi ;
Office of the Executive Director: Student Affairs;;iHhovisi likaMqondisi-jikelele: ezabaFundi;
Office of the Chief Finance Officer;;iHhovisi likaMphathizimali-jikelele;
"Office of the Deputy Vice Chancellor and Head of the College of Agriculture; Engineering and Science;;""iHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: eZolimo; ezeSayensi nobuNjiniyela  "";"
Office of the Deputy Vice Chancellor and Head of the College of Health Sciences;;IHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: iSayensi yezeMpilo ;
Office of the Deputy Vice Chancellor and Head of College of Humanities;;iHhovisi LePhini likaSekela –Shanselane Nhloko yeKolishi: ezoBuntu;
Office of the Deputy Vice Chancellor and Head of College of Law and Management Studies;;iHhovisi LePhini likaSekela-ShanselaneNhloko yeKolishi: Izifundo zoMthetho nezokuPhatha ;
"Dean & Head of School of Agricultural; Earth and Environmental Sciences;;""iDini neNhloko yeSikole: sezoLimo; EzomMhlaba; ubuNjiniyela  neSayensi "";"
Dean & Head of School of Chemistry and Physics;;iDini neNhloko yeSikole: sezamaKhambi nezoMkhathi;
Dean & Head of School of Engineering;;iDini neNhloko yeSikole: sobuNjiniyela;
Dean & Head of School of Life Sciences;;iDini neNhloko yeSikole: seSayensi yokuPhila;
"Dean & Head of School Mathematics; Statistics and Computer Science;;""iDini neNhloko yeSikole: seziBalo; iziBalo zokuLinganisa neSayensi yama Khompyutha"";"
Dean: Teaching and Learning;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi ;
Dean: Research;;iDini: yezoCwaningo;
Dean & Head of School: Clinical Medicine;;iDini neNhloko yeSikole: seMithi yemiTholampilo;
Dean & Head of School: Health Science;;iDini nenhloko yeSikole: seSayensi yezeMpilo;
Dean & Head of School: Laboratory Medicine and Medical Sciences;;iDini neNhloko yeSikole: sokuXilonga iMithi neSayensi yemithi yokweLapha;
Dean & Head of School: Nursing and Public Health;;iDini neNhloko yesikole: sobuHlengikazi neMpilo yoMphakathi;
Dean: Teaching and Learning ;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi;
Dean: Research;;iDini yezoCwaningo;
English Phrase/Term;;Amagama NgesiZulu;
Dean & Head of School  of Applied Human Sciences;;iDini neNhloko yeSikole: seSayensi yezeMpilo yaBantu.;
Dean & Head of School of Arts;;iDini neNhloko yeSikole: soBuciko;
Dean & Head of School of Built Environment and Development Studies;;iDini neNhloko yeSikole: izifundo zoKwakha nezeNtuthuko ;
Dean & Head of School of Education;;iDini neNhloko yeSikole: ezeMfundo;
"Dean & Head of School of Religion; Philosophy and Classics;;""iDini neNhloko yeSikole: ezeNkolo; ezobuNzululwazi nezaseMandulo."";"
Dean & Head of Schoo of Social Sciences;;iDini neNhloko yeSikole: seSayensi yezeNhlalo;
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo ;
"Dean & Head of School of Accounting; Economics and Finance;;""iDini neNhloko yeSikole: sokuHlelwa kwamaBhuku eziMali; ezoMnotho nezeziMali"";"
Dean & Head of School of the Graduate School of Business & Leadership ;;iDini neNhloko yeSikole: seZiqu sezamaBhizinisi noBuholi;
Dean & Head of School of Law;;iDini neNhloko yeSikole: SezoMthetho;
"Dean & Head of School of Management; IT and Governance ;;""iDini neNhloko yeSikole: ezokuPhatha;  ezoBuChwepheshe nokuBusa "";"
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo;
English Terms;;IsiZulu Term;
Office of the Vice-Chancellor and Principal;;iHhovisi le-Phini /Sekela-Shansela   neNhloko;
Office of the Deputy Vice Chancellor: Research;;iHhovisi LePhini likaSekela-Shansela: ezoCwaningo;
Office of the Deputy Vice Chancellor: Teaching and Learning ;;iHhovisi LePhini likaSekela- Shansela: ezokuFundisa nokuFunda  ;
Office of the Executive Director: Corporate Relations;;iHhovisi likaMqondisi-jikelele: ezoBudlelwano beziNkampani neNyuvesi.;
Office of the Executive Director: Physical Planning and Operations;;iHhovisi likaMqondisi-jikelele: ezokuHlelwa kweZakhiwo Nemisebenzi;
Office of the Executive Director : Human Resources;;iHhovisi likaMqondisi-jikelele: kaNdabazabafundi;
Office of the Registrar;;iHhovisi lika-Mgcinimniningwane yeNyuvesi ;
Office of the Executive Director: Student Affairs;;iHhovisi likaMqondisi-jikelele: ezabaFundi;
Office of the Chief Finance Officer;;iHhovisi likaMphathizimali-jikelele;
"Office of the Deputy Vice Chancellor and Head of the College of Agriculture; Engineering and Science;;""iHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: eZolimo; ezeSayensi nobuNjiniyela  "";"
Office of the Deputy Vice Chancellor and Head of the College of Health Sciences;;IHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: iSayensi yezeMpilo ;
Office of the Deputy Vice Chancellor and Head of College of Humanities;;iHhovisi LePhini likaSekela –Shanselane Nhloko yeKolishi: ezoBuntu;
Office of the Deputy Vice Chancellor and Head of College of Law and Management Studies;;iHhovisi LePhini likaSekela-ShanselaneNhloko yeKolishi: Izifundo zoMthetho nezokuPhatha ;
"Dean & Head of School of Agricultural; Earth and Environmental Sciences;;""iDini neNhloko yeSikole: sezoLimo; EzomMhlaba; ubuNjiniyela  neSayensi "";"
Dean & Head of School of Chemistry and Physics;;iDini neNhloko yeSikole: sezamaKhambi nezoMkhathi;
Dean & Head of School of Engineering;;iDini neNhloko yeSikole: sobuNjiniyela;
Dean & Head of School of Life Sciences;;iDini neNhloko yeSikole: seSayensi yokuPhila;
"Dean & Head of School Mathematics; Statistics and Computer Science;;""iDini neNhloko yeSikole: seziBalo; iziBalo zokuLinganisa neSayensi yama Khompyutha"";"
Dean: Teaching and Learning;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi ;
Dean: Research;;iDini: yezoCwaningo;
Dean & Head of School: Clinical Medicine;;iDini neNhloko yeSikole: seMithi yemiTholampilo;
Dean & Head of School: Health Science;;iDini nenhloko yeSikole: seSayensi yezeMpilo;
Dean & Head of School: Laboratory Medicine and Medical Sciences;;iDini neNhloko yeSikole: sokuXilonga iMithi neSayensi yemithi yokweLapha;
Dean & Head of School: Nursing and Public Health;;iDini neNhloko yesikole: sobuHlengikazi neMpilo yoMphakathi;
Dean: Teaching and Learning ;;iDini yezokuFunda nokuFundisa neNhloko yeKolishi;
Dean: Research;;iDini yezoCwaningo;
English Phrase/Term;;Amagama NgesiZulu;
Dean & Head of School  of Applied Human Sciences;;iDini neNhloko yeSikole: seSayensi yezeMpilo yaBantu.;
Dean & Head of School of Arts;;iDini neNhloko yeSikole: soBuciko;
Dean & Head of School of Built Environment and Development Studies;;iDini neNhloko yeSikole: izifundo zoKwakha nezeNtuthuko ;
Dean & Head of School of Education;;iDini neNhloko yeSikole: ezeMfundo;
"Dean & Head of School of Religion; Philosophy and Classics;;""iDini neNhloko yeSikole: ezeNkolo; ezobuNzululwazi nezaseMandulo."";"
Dean & Head of Schoo of Social Sciences;;iDini neNhloko yeSikole: seSayensi yezeNhlalo;
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo ;
"Dean & Head of School of Accounting; Economics and Finance;;""iDini neNhloko yeSikole: sokuHlelwa kwamaBhuku eziMali; ezoMnotho nezeziMali"";"
Dean & Head of School of the Graduate School of Business & Leadership ;;iDini neNhloko yeSikole: seZiqu sezamaBhizinisi noBuholi;
Dean & Head of School of Law;;iDini neNhloko yeSikole: SezoMthetho;
"Dean & Head of School of Management; IT and Governance ;;""iDini neNhloko yeSikole: ezokuPhatha;  ezoBuChwepheshe nokuBusa "";"
Dean: Teaching and Learning;;iDini yezokuFundisa nokuFunda ;
Dean: Research;;iDini yezo-Cwaningo;
English Terms;;IsiZulu Term;
Office of the Vice-Chancellor and Principal;;iHhovisi le-Phini /Sekela-Shansela   neNhloko;
Office of the Deputy Vice Chancellor: Research;;iHhovisi LePhini likaSekela-Shansela: ezoCwaningo;
Office of the Deputy Vice Chancellor: Teaching and Learning ;;iHhovisi LePhini likaSekela- Shansela: ezokuFundisa nokuFunda  ;
Office of the Executive Director: Corporate Relations;;iHhovisi likaMqondisi-jikelele: ezoBudlelwano beziNkampani neNyuvesi.;
Office of the Executive Director: Physical Planning and Operations;;iHhovisi likaMqondisi-jikelele: ezokuHlelwa kweZakhiwo Nemisebenzi;
Office of the Executive Director : Human Resources;;iHhovisi likaMqondisi-jikelele: kaNdabazabafundi;
Office of the Registrar;;iHhovisi lika-Mgcinimniningwane yeNyuvesi ;
Office of the Executive Director: Student Affairs;;iHhovisi likaMqondisi-jikelele: ezabaFundi;
Office of the Chief Finance Officer;;iHhovisi likaMphathizimali-jikelele;
"Office of the Deputy Vice Chancellor and Head of the College of Agriculture; Engineering and Science;;""iHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: eZolimo; ezeSayensi nobuNjiniyela  "";"
Office of the Deputy Vice Chancellor and Head of the College of Health Sciences;;IHhovisi LePhini likaSekela- Shansela  neNhloko yeKolishi: iSayensi yezeMpilo ;
Office of the Deputy Vice Chancellor and Head of College of Humanities;;iHhovisi LePhini likaSekela –Shanselane Nhloko yeKolishi: ezoBuntu;
Office of the Deputy Vice Chancellor and Head of College of Law and Management Studies;;iHhovisi LePhini likaSekela-ShanselaneNhloko yeKolishi: Izifundo zoMthetho nezokuPhatha ;
"Dean & Head of School of Agricultural; Earth and Environmental Sciences;;""iDini neNhloko yeSikole: sezoLimo; EzomMhlaba; ubuNjiniyela  neSayensi "";"
Dean & Head of School of Chemistry and Physics;;iDini neNhloko yeSikole: sezamaKhambi nezoMkhathi;
Dean & Head of School of Engineering;;iDini neNhloko yeSikole: sobuNjiniyela;
Dean & Head of School of Life Sciences;;iDini neNhloko yeSikole: seSayensi yokuPhila;
"Dean & Head of School Mathematics; Statistics and Computer Science;;""iDini neNhloko yeSikole: seziBalo; iziBalo zokuLinganisa neSayensi yama Khompyutha"";"
